x,-120 V,-110 V,-100 V,-90 V,-80 V,-70 V,-60 V,-50 V,-40 V,-30 V,-20 V
-65.918,-0.37788,-0.30373,-0.23976,-0.18313,-0.13729,-0.1002,-0.07012,-0.04602,-0.02709,-0.01758,-0.01253
-65.359,-0.37565,-0.30227,-0.23881,-0.18254,-0.13686,-0.1,-0.06996,-0.04596,-0.02708,-0.01758,-0.01253
-64.8,-0.37342,-0.30078,-0.23785,-0.18194,-0.13641,-0.0998,-0.06979,-0.0459,-0.02708,-0.01757,-0.01253
-64.24,-0.37118,-0.29927,-0.23689,-0.18133,-0.13596,-0.09959,-0.06963,-0.04584,-0.02709,-0.01757,-0.01254
-63.681,-0.36893,-0.29774,-0.23591,-0.18071,-0.13551,-0.09937,-0.06945,-0.04578,-0.02709,-0.01756,-0.01254
-63.122,-0.36668,-0.29617,-0.23493,-0.18009,-0.13504,-0.09916,-0.06928,-0.04572,-0.0271,-0.01755,-0.01254
-62.562,-0.36443,-0.29458,-0.23393,-0.17945,-0.13458,-0.09893,-0.06911,-0.04566,-0.02711,-0.01754,-0.01253
-62.003,-0.36217,-0.29296,-0.23292,-0.1788,-0.1341,-0.0987,-0.06893,-0.0456,-0.02712,-0.01753,-0.01253
-61.444,-0.3599,-0.29132,-0.2319,-0.17814,-0.13362,-0.09847,-0.06875,-0.04554,-0.02713,-0.01752,-0.01253
-60.884,-0.35763,-0.28964,-0.23087,-0.17747,-0.13314,-0.09822,-0.06856,-0.04548,-0.02715,-0.0175,-0.01252
-60.325,-0.35535,-0.28794,-0.22983,-0.17679,-0.13265,-0.09798,-0.06838,-0.04543,-0.02717,-0.01749,-0.01252
-59.766,-0.35307,-0.28621,-0.22877,-0.17611,-0.13215,-0.09772,-0.06819,-0.04537,-0.02719,-0.01747,-0.01251
-59.206,-0.35078,-0.28445,-0.2277,-0.1754,-0.13165,-0.09746,-0.068,-0.04531,-0.02721,-0.01745,-0.0125
-58.647,-0.34849,-0.28266,-0.22662,-0.17469,-0.13114,-0.09719,-0.06781,-0.04525,-0.02723,-0.01743,-0.0125
-58.088,-0.34619,-0.28085,-0.22551,-0.17397,-0.13063,-0.09691,-0.06762,-0.0452,-0.02726,-0.01741,-0.01249
-57.528,-0.34388,-0.27901,-0.22439,-0.17323,-0.13011,-0.09663,-0.06742,-0.04514,-0.02728,-0.01739,-0.01248
-56.969,-0.34157,-0.27715,-0.22326,-0.17248,-0.12958,-0.09634,-0.06723,-0.04508,-0.0273,-0.01736,-0.01248
-56.41,-0.33924,-0.27526,-0.2221,-0.17172,-0.12905,-0.09604,-0.06703,-0.04502,-0.02731,-0.01734,-0.01247
-55.85,-0.33692,-0.27336,-0.22092,-0.17095,-0.12851,-0.09573,-0.06682,-0.04497,-0.02733,-0.01731,-0.01246
-55.291,-0.33458,-0.27143,-0.21973,-0.17016,-0.12797,-0.09542,-0.06662,-0.04491,-0.02733,-0.01728,-0.01246
-54.732,-0.33224,-0.26948,-0.21851,-0.16937,-0.12742,-0.09509,-0.06641,-0.04485,-0.02732,-0.01725,-0.01245
-54.172,-0.32989,-0.26752,-0.21727,-0.16855,-0.12687,-0.09476,-0.06621,-0.04479,-0.02731,-0.01723,-0.01245
-53.613,-0.32753,-0.26553,-0.21601,-0.16773,-0.1263,-0.09442,-0.066,-0.04473,-0.02728,-0.0172,-0.01245
-53.054,-0.32516,-0.26353,-0.21473,-0.16689,-0.12574,-0.09408,-0.06578,-0.04468,-0.02724,-0.01717,-0.01245
-52.494,-0.32278,-0.26151,-0.21342,-0.16604,-0.12516,-0.09372,-0.06557,-0.04462,-0.02719,-0.01713,-0.01244
-51.935,-0.3204,-0.25947,-0.2121,-0.16517,-0.12458,-0.09336,-0.06535,-0.04456,-0.02713,-0.0171,-0.01245
-51.376,-0.318,-0.25742,-0.21074,-0.16429,-0.124,-0.09299,-0.06513,-0.0445,-0.02705,-0.01707,-0.01245
-50.816,-0.3156,-0.25536,-0.20937,-0.16339,-0.1234,-0.09261,-0.06491,-0.04444,-0.02697,-0.01704,-0.01245
-50.257,-0.31318,-0.25328,-0.20797,-0.16248,-0.1228,-0.09222,-0.06469,-0.04437,-0.02688,-0.01701,-0.01245
-49.697,-0.31075,-0.25119,-0.20655,-0.16155,-0.1222,-0.09182,-0.06446,-0.04431,-0.02679,-0.01698,-0.01245
-49.138,-0.30831,-0.24909,-0.2051,-0.16061,-0.12158,-0.09142,-0.06424,-0.04425,-0.02669,-0.01696,-0.01246
-48.579,-0.30586,-0.24697,-0.20363,-0.15965,-0.12096,-0.091,-0.06401,-0.04418,-0.02658,-0.01693,-0.01246
-48.019,-0.3034,-0.24484,-0.20214,-0.15868,-0.12033,-0.09058,-0.06378,-0.04412,-0.02648,-0.01691,-0.01247
-47.46,-0.30092,-0.2427,-0.20062,-0.15769,-0.1197,-0.09014,-0.06354,-0.04405,-0.02637,-0.01689,-0.01247
